Name,Token,Type,Status,ICO start,ICO end,Raised,Price,Bonus,Bounty,MVP/Prototype,Platform,Accepting,Minimum investment,Soft cap ,Hard cap ,Country,Whitelist/KYC,Restricted areas,Rate (Overall),Benchy Rating,Benchy Weight,Expert Team,Expert Vision,Expert Product,Weight of Experts,Number of Experts,Expert 1 Team,Expert 1 Vision,Expert 1 Product,Expert 1 Weight,Expert 2 Team,Expert 2 Vision,Expert 2 Product,Expert 2 Weight,Expert 3 Team,Expert 3 Vision,Expert 3 Product,Expert 3 Weight,Expert 4 Team,Expert 4 Vision,Expert 4 Product,Expert 4 Weight,Expert 5 Team,Expert 5 Vision,Expert 5 Product,Expert 5 Weight,Expert 6 Team,Expert 6 Vision,Expert 6 Product,Expert 6 Weight,Expert 7 Team,Expert 7 Vision,Expert 7 Product,Expert 7 Weight,Expert 8 Team,Expert 8 Vision,Expert 9 Product,Expert 9 Weight,Expert 10 Team,Expert 10 Vision,Expert 10 Product,Expert 10 Weight,Expert 11 Team,Expert 11 Vision,Expert 11 Product,Expert 11 Weight,Expert 12 Team,Expert 12 Vision,Expert 12 Product,Expert 12 Weight,Expert 13 Team,Expert 13 Vision,Expert 13 Product,Expert 13 Weight,Expert 14 Team,Expert 14 Vision,Expert 14 Product,Expert 14 Weight,Expert 15 Team,Expert 15 Vision,Expert 15 Product,Expert 15 Weight,Expert 16 Team,Expert 16 Vision,Expert 16 Product,Expert 16 Weight,Expert 17 Team,Expert 17 Vision,Expert 17 Product,Expert 17 Weight,Expert 18 Team,Expert 18 Vision,Expert 19 Product,Expert 19 Weight,Expert 20 Team,Expert 20 Vision,Expert 20 Product,Expert 20 Weight
0chain,ZCHN,Utility,Ended,2/18/2018,2/16/2018,"$39,000,000",,,,,,,,,,USA,,China,3.1,2.7,40%,3.1,4.2,2.7,60%,7,5,2,3,,1,3,2,4,1,2,,5,,2,1,5,,2,,0.04,1,,,5,,,,0.04,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0penProductDB,OPDB,Utility,Ended,4/16/2018,6/11/2018,"$2,499,299",,,,,,,,,,Lithuania,,,2,2.3,71%,1,2,1,29%,1,1,,2,,,1,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x,ZRX,Utility,Trading,8/15/2017,9/15/2017,"$24,000,000",,,,,,,,,,USA,,,3,2.8,80%,3.2,4,4,20%,2,3,4,4,,,4,,0.15,4,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xcert,ZXC,Utility,Ended,7/4/2018,7/18/2018,"$10,313,710",,,,,,,,,,Slovenia,,"USA, China, New Zealand",4.1,3.9,62%,4.7,5,4,38%,2,5,4,5,,,5,,0.25,4,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100Tokens,OHC,Utility,Ended,10/10/2018,10/30/2018,N/A,,,,,,,,,,USA,,,2.9,2.6,81%,3,5,4,19%,1,3,,5,,,4,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108 Token,108T,Utility,Ended,6/1/2018,8/31/2018,N/A,,,,,,,,,,Cayman Islands,,,3.8,3.7,71%,4,4,4,29%,1,4,,4,,,4,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12SHIPS,12SHIPS,Utility,Unknown,,,N/A,1 12SHIPS = 0.0881 USD,,,,Ethereum,ETH,,"50,000,000","500,000,000",Singapore,,,2.8,2.8,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1APayment,1AP,Utility,Ended,3/20/2018,4/20/2018,N/A,,,,,,,,,,Switzerland,,USA,2.9,2.9,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1KCoin,1KCoin,Utility,Ended,3/1/2018,4/30/2018,N/A,,,,,,,,,,Spain,,,2.8,2.8,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1World,1WO,Utility,Ended,10/5/2017,11/6/2017,"$5,000,000",,,,,,,,,,USA,,,3.3,3.3,75%,2.6,4,3.6,25%,2,3,2,4,,,4,,0.16,3,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
